City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Rocha,UY,2021-02-04 15:55:30,-34.4833,-54.3333,72.45,62,69,19.17
202,Zarubino,RU,2021-02-04 15:58:49,42.63,131.0922,10.0,85,98,4.29
203,Jiwani,PK,2021-02-04 15:54:24,25.05,61.7417,70.61,53,0,11.54
204,Vostok,RU,2021-02-04 15:55:19,46.4856,135.8833,-19.08,88,95,6.35
205,Tocopilla,CL,2021-02-04 15:58:49,-22.092,-70.1979,75.13,49,95,7.38
206,Tabuk,PH,2021-02-04 15:58:49,17.4189,121.4443,67.98,85,88,4.74
207,Ketchikan,US,2021-02-04 15:58:49,55.3422,-131.6461,39.2,100,90,3.44
208,Butaritari,KI,2021-02-04 15:58:49,3.0707,172.7902,80.22,84,100,14.52
209,Tiksi,RU,2021-02-04 15:58:50,71.6872,128.8694,-26.27,86,97,2.35
210,Cortes,ES,2021-02-04 15:58:50,41.9395,-1.4396,64.4,55,97,13.8
211,Georgetown,MY,2021-02-04 15:57:29,5.4112,100.3354,80.6,69,20,5.75
212,Alihe,CN,2021-02-04 15:58:50,50.5667,123.7167,-6.48,89,100,1.14
213,Prainha,BR,2021-02-04 15:58:50,-1.8,-53.48,92.37,46,100,6.6
214,Fare,PF,2021-02-04 15:58:50,-16.7,-151.0167,80.82,66,16,4.25
215,Xining,CN,2021-02-04 15:58:51,36.6167,101.7667,25.34,65,26,5.48
216,Atambua,ID,2021-02-04 15:58:51,-9.1061,124.8925,73.26,88,100,2.46
217,Evensk,RU,2021-02-04 15:58:51,61.95,159.2333,4.26,88,100,26.53
218,Laviana,ES,2021-02-04 15:58:51,43.2333,-5.5333,54.0,85,100,5.01
219,Atherton,GB,2021-02-04 15:58:51,53.5237,-2.4935,48.0,71,100,3.0
220,Joshimath,IN,2021-02-04 15:57:57,30.5667,79.5667,41.83,59,100,2.01
221,Rawson,AR,2021-02-04 15:57:05,-43.3002,-65.1023,93.49,14,0,12.21
222,Srednekolymsk,RU,2021-02-04 15:58:52,67.45,153.6833,-3.46,84,100,11.92
223,Waipawa,NZ,2021-02-04 15:58:52,-41.4122,175.5153,55.4,71,40,20.71
224,Camacha,PT,2021-02-04 15:57:41,33.0833,-16.3333,55.4,76,40,6.91
225,Krasnaya Gora,RU,2021-02-04 15:58:52,52.9995,31.6023,33.8,100,90,11.18
226,Kahului,US,2021-02-04 15:54:12,20.8947,-156.47,64.99,74,75,3.44
227,Nur,PL,2021-02-04 15:58:53,52.6683,22.3221,27.0,65,48,5.99
228,Yei,SS,2021-02-04 15:58:53,4.095,30.6779,90.05,19,35,2.86
229,Yamada,JP,2021-02-04 15:58:53,39.4667,141.95,20.98,85,5,18.99
230,Nome,US,2021-02-04 15:54:20,64.5011,-165.4064,-5.8,59,20,8.05
231,Tsaratanana,MG,2021-02-04 15:58:53,-16.7833,47.65,78.22,80,100,1.34
232,Gat,IL,2021-02-04 15:58:53,31.61,34.7642,59.0,100,100,1.99
233,Dinar,TR,2021-02-04 15:58:53,38.065,30.1656,59.0,51,20,5.75
234,San Cristobal,VE,2021-02-04 15:58:05,7.7669,-72.225,84.2,58,20,4.61
235,Broome,US,2021-02-04 15:58:54,42.2506,-75.833,30.99,74,40,11.5
236,Davila,PH,2021-02-04 15:58:54,18.4726,120.5763,71.6,78,20,3.44
237,Igarka,RU,2021-02-04 15:58:54,67.4667,86.5833,-29.36,84,80,5.5
238,Severo-Kurilsk,RU,2021-02-04 15:58:54,50.6789,156.125,9.45,88,96,15.17
239,Ixtapa,MX,2021-02-04 15:58:54,20.7,-105.2,62.6,88,1,2.77
240,Gamba,GA,2021-02-04 15:58:54,-2.65,10.0,83.79,76,99,8.9
241,High Level,CA,2021-02-04 15:58:55,58.5169,-117.136,-16.6,83,20,8.05
