City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Port Hardy,CA,50.6996,-127.4199,39.2,100,75,5.75,light rain
326,Klaksvik,FO,62.2266,-6.589,33.8,86,40,5.75,light snow
327,Nehe,CN,48.4833,124.8333,-9.02,86,0,3.02,clear sky
328,Tokur,RU,53.1333,132.9,-21.75,88,43,0.47,scattered clouds
329,San Pedro De Macoris,DO,18.4616,-69.2972,86.0,62,40,9.22,scattered clouds
330,Sayat,TM,38.7839,63.8803,50.0,76,0,6.91,clear sky
331,Tshela,CD,-4.9833,12.9333,79.52,86,77,4.38,light rain
332,Gamba,GA,-2.65,10.0,79.59,83,100,6.44,moderate rain
333,Cabedelo,BR,-6.9811,-34.8339,89.6,58,75,12.66,broken clouds
334,Noumea,NC,-22.2763,166.4572,78.01,94,0,2.3,clear sky
335,Emba,KZ,48.8264,58.1442,12.58,95,34,10.98,scattered clouds
336,Bodden Town,KY,19.2833,-81.25,84.99,65,20,12.66,few clouds
337,Shimoda,JP,34.6667,138.95,42.01,53,0,1.01,clear sky
338,Inta,RU,66.0317,60.1659,-16.17,88,100,10.47,light snow
339,Lovozero,RU,68.005,35.0117,9.82,94,91,12.82,overcast clouds
340,Khudumelapye,BW,-23.8833,24.75,67.41,88,96,7.36,overcast clouds
341,Vostok,RU,46.4856,135.8833,-12.77,90,100,2.91,overcast clouds
342,Claveria,PH,18.6074,121.0832,75.74,87,97,12.26,overcast clouds
343,Puri,IN,19.8,85.85,71.6,64,20,3.0,haze
344,Conceicao Da Barra,BR,-18.5933,-39.7322,83.97,70,91,6.73,light rain
345,Anadyr,RU,64.75,177.4833,10.4,40,0,6.71,clear sky
346,Okha,RU,53.5739,142.9478,8.44,94,100,25.52,light snow
347,Ginir,ET,7.1333,40.7,65.64,46,83,1.79,broken clouds
